time,I,Q,U,V,EVPA,P,uplim,bolim
10.241946666443255,2.4527551785535864,-0.04230101211704124,-0.3013723727270255,-0.021852907388423107,-48.9949556557762,0.304326605260275,-0.018103322450165528,-0.026245418004471235
10.243066666647792,2.4528421937989537,-0.041018490796171016,-0.2996911785656987,-0.0230621676354714,-48.89680087590541,0.3024852378171422,-0.018166271861684326,-0.02614406344988978
10.244759999855887,2.4559515806122656,-0.04484024320626077,-0.3002838939332417,-0.022683678809883152,-49.246501857106715,0.30361334681879015,-0.0181324310101391,-0.026139684127229158
10.250933333183639,2.452160111087009,-0.04711396828001361,-0.2936756396610143,-0.02090173224786489,-49.55710933394289,0.29743084463013586,-0.018126461088486194,-0.026040745342095092
10.302879999973811,2.4946141046672934,-0.05813378076226862,-0.25318095436905347,-0.02376759215182596,-51.46586694902078,0.2597693825702718,-0.019003486087424075,-0.0272084614148888
10.303999999829102,2.5004106313199617,-0.05856549411709052,-0.25277936291388625,-0.023094146582318138,-51.52224483294948,0.25947509209234165,-0.01900684512701617,-0.027224818327482303
10.30512000003364,2.5122495203439867,-0.05876090165521439,-0.25245278284860856,-0.0230755673671463,-51.55143158436839,0.2592011788772198,-0.019068591974679916,-0.027174081452249414
10.306813333241735,2.5162390159727344,-0.06020999402943748,-0.25130251060497477,-0.024201299297887238,-51.73680554868471,0.25841477360512566,-0.019118115389713728,-0.027141592350335118
10.307933333271649,2.5123081930176614,-0.06071790803743543,-0.2501094968591288,-0.02194451047609093,-51.822725057780225,0.25737409499708597,-0.019160773668847424,-0.02709826204781383
10.309053333301563,2.511161715739019,-0.061263691598274314,-0.24950943478132212,-0.02226153212546271,-51.89764979564956,0.2569206063225434,-0.01914260363140913,-0.0271391405051801
10.310173333156854,2.5081790563788133,-0.0609297448017909,-0.24736991109087678,-0.025454701634547224,-51.918550010769,0.2547632365839303,-0.019171398652268693,-0.027129067856465818
10.311866666714195,2.500982068452133,-0.06034129643221406,-0.24567543396393648,-0.022659415910233936,-51.89973849417472,0.25297725373734464,-0.019084970504117397,-0.027251414216428124
10.312986666569486,2.5151290695513686,-0.06214374544042986,-0.24789747628641645,-0.024358351227081357,-52.03654109399849,0.2555680023918083,-0.019146470474467228,-0.02720180118437867
10.314106666424777,2.5153819346258204,-0.06315597540949534,-0.24732170998548855,-0.021365379932364825,-52.162448166356185,0.2552581153657429,-0.01920229839548258,-0.027155734656829692
10.319159999897238,2.5253842839030076,-0.06470989364286585,-0.24428613921857528,-0.02273825302321025,-52.418271771018865,0.25271147213687817,-0.019367020539468073,-0.027055745351288178
10.324213333369698,2.5375382463197274,-0.07034875855285824,-0.24318253314655772,-0.024254966543736503,-53.06714898852553,0.25315349544792976,-0.019373212064886066,-0.027105589745162608
10.328146666637622,2.5220883072617313,-0.0700423947700058,-0.2392413969007065,-0.020448333150284353,-53.15918971838535,0.2492837400556216,-0.01947813622472414,-0.027058292540282105
10.329266666492913,2.5330925171346648,-0.07031236711591038,-0.24016300612098834,-0.023346703406840034,-53.15920663858635,0.2502440778090711,-0.019485759706922953,-0.02706591602248092
10.33319999993546,2.5272025364016,-0.06998838815433882,-0.23617108212460317,-0.022735338205112476,-53.25349330222153,0.2463232723644854,-0.019479174141783323,-0.027113010373514088
10.334319999965373,2.520383397942759,-0.06924134286320521,-0.23409158207342154,-0.023051613157568374,-53.238776903067034,0.2441172512526253,-0.01952211786778484,-0.027087442407070426
10.338253333233297,2.5384505319980537,-0.07190403989145873,-0.23483690900406867,-0.023991361948909627,-53.511957062584464,0.24559838106815307,-0.019589999983067742,-0.027060056715257616
10.344426666561048,2.54990588714758,-0.07271543090976318,-0.23092724486879487,-0.02377956402581832,-53.73920576859462,0.24210519679487444,-0.019403794589348888,-0.027262989112840506
10.345546666590963,2.5452780867207814,-0.07236642513801092,-0.23004932202869632,-0.024160884996817854,-53.730984124411826,0.241162994783856,-0.01940789060329428,-0.02727241306088967
10.34723999997368,2.5445023090033208,-0.07221717195140964,-0.22943560710692687,-0.02269890728484928,-53.73596067749274,0.24053277891627073,-0.019412252460720446,-0.027276774918315837
10.348360000003595,2.54748932838666,-0.07274083764603768,-0.2293222805362684,-0.024327543454636964,-53.79949209993567,0.24058249689410532,-0.019414641529643884,-0.027279163987239275
10.349480000033509,2.544249967641648,-0.07274374277345177,-0.2270538981052431,-0.023143726861167495,-53.88223431147028,0.23842215659933166,-0.01944311656155674,-0.027257694905383916
10.3505999998888,2.5392087910691004,-0.0729899448091782,-0.22503213493471722,-0.023249619970223182,-53.985324319270696,0.23657344271182185,-0.019513410590098357,-0.02720134551310349
10.352293333271518,2.5542491393735407,-0.07276638324068231,-0.22636071020870943,-0.023602812578450785,-53.910314336081534,0.23776904267822835,-0.01948186872003822,-0.027235784786504572
10.353413333301432,2.560577252325937,-0.073196859631638,-0.2264587624175853,-0.024262995437022736,-53.95603337696499,0.23799443551402216,-0.019455937937592663,-0.02725913467235029
10.354533333331347,2.5588967226647075,-0.07406242398671187,-0.22549451136735738,-0.02362173581671051,-54.091239880841904,0.23734577582841185,-0.01944918529585803,-0.027263496566860047
